candidate_id,seq,employer_raw,employer_canonical,employer_tier,title,seniority_level,location,start,end,start_status,end_status,duration_months,is_current,is_internship,n_highlights,evidence_page,evidence_char_start
31b604248140fd1b,5,Fundacao Getulio Vargas,Fundacao Getulio Vargas,Unknown,Manager of CJE-FF - a student-run equity fund - and the Investment Committee,3,"Sao Paulo, Brazil",2013,2016,verified,verified,36,False,False,0,,285
6af5686564dbbb2a,0,Coatue Management,Coatue Management,Hedge Fund / PE,"Healthcare Analyst, Investment Team",3,"New York, NY",2019-10,present,verified,verified,82,True,False,5,,78
6af5686564dbbb2a,1,Goldman Sachs,Goldman Sachs,Bulge Bracket,"Senior Associate, Investment Team",4,"New York, NY",2019-01,2019-09,verified,verified,8,False,False,4,,911
6af5686564dbbb2a,2,Goldman Sachs,Goldman Sachs,Bulge Bracket,"Associate, Investment Team",4,"New York, NY",2017-04,2018-12,verified,verified,20,False,False,4,,911
6af5686564dbbb2a,3,Credit Suisse,Credit Suisse,Bulge Bracket,"Analyst, Healthcare Investment Banking Group",3,"New York, NY",2013-06,2015-03,verified,verified,21,False,False,4,,1665
6af5686564dbbb2a,4,Crimson Capital Partners,Crimson,Unknown,Investment Committee,3,,,,missing,missing,,False,False,0,,2852
6af5686564dbbb2a,5,Harvard Undergraduate Business Association,Harvard Undergraduate Business Association,Unknown,President,3,,,,missing,missing,,False,False,0,,2901
6af5686564dbbb2a,6,Big Brothers Big Sisters,BIG Brothers BIG Sisters,Unknown,Mentor,3,,,,missing,missing,,False,False,0,,3205
6af5686564dbbb2a,7,Harvard Alumni Healthcare Network,Harvard Alumni Healthcare Network,Unknown,Regional Representative,3,,,,missing,missing,,False,False,0,,3240
3e9b46a397616de2,0,Fidelity Asset Management,Fidelity,Long-Only / Asset Mgmt,"Analyst, Consumer Internet & Software",3,"Boston, MA",2022-05,present,verified,verified,51,True,False,3,,1080
3e9b46a397616de2,1,"William Blair, Equity Research",William Blair,Elite Boutique,"Associate, TMT",4,"Chicago, IL",2019-04,2022-01,verified,verified,33,False,False,4,,1550
3e9b46a397616de2,2,"William Blair, Fixed Income Sales & Trading",William Blair,Elite Boutique,Jr. Desk Analyst,3,"Chicago, IL",2018-04,2019-04,verified,verified,12,False,False,3,,2183
3e9b46a397616de2,3,"Guaranteed Rate, Mortgage Trading","Guaranteed Rate, Mortgage Trading",Unknown,Capital Markets Analyst,3,"Chicago, IL",2017-07,2018-03,verified,verified,8,False,False,2,,2705
3e9b46a397616de2,4,Magnetar Capital Management,Magnetar Capital,Hedge Fund / PE,Summer Intern,1,"Evanston, IL",2016-05,2016-08,verified,verified,3,False,True,0,,2993
3e9b46a397616de2,5,Campus Tutoring Service,Campus Tutoring Service,Unknown,,3,"Ann Arbor, MI",2015-01,2015-05,verified,verified,4,False,False,1,,3377
3e9b46a397616de2,6,Ross Investment Banking Club,Ross Investment Banking Club,Unknown,,3,,2015-03,2017-05,verified,verified,26,False,False,1,,3215
7ee7c4909d5aa2dc,0,BNP Paribas CIB,BNP Paribas,Bulge Bracket,Quantitative Developer,3,"Paris, France",2022-05,present,verified,verified,51,True,False,3,,31
7ee7c4909d5aa2dc,1,BNP Paribas CIB,BNP Paribas,Bulge Bracket,Internship,3,"Paris, France",2022-04,2022-08,verified,verified,4,False,True,1,,31
7ee7c4909d5aa2dc,2,Société Générale - SGATS (SGCIB),Societe Generale,Bulge Bracket,Quantitative Strategist - Intern,1,"Rabat, Morocco",2021-06,2021-08,verified,verified,2,False,True,2,,532
2fe654610aa00d06,0,ICICI Securities,ICICI Securities,Regional Broker / Other,Lead Healthcare Analyst,3,,2023-05,present,verified,verified,39,True,False,3,,273
2fe654610aa00d06,1,J.P. Morgan Chase,J.P. Morgan,Bulge Bracket,Lead Healthcare Analyst,3,,2021-09,2023-05,verified,verified,20,False,False,3,,735
2fe654610aa00d06,2,Jardine Lloyd Thompson,Jardine Lloyd Thompson,Regional Broker / Other,Lead Pharma Analyst,3,,2020-01,2021-09,verified,verified,20,False,False,3,,1085
2fe654610aa00d06,3,Centrum Broking Ltd,Centrum Broking,Regional Broker / Other,Research Analyst,3,,2017-01,2019-12,verified,verified,35,False,False,4,,1552
2fe654610aa00d06,4,Morgan Stanley,Morgan Stanley,Bulge Bracket,Equity Research Analyst,4,,2015-10,2016-12,verified,verified,14,False,False,3,,2862
2fe654610aa00d06,5,Transparent Value,Transparent Value,Regional Broker / Other,Equity Research Analyst,3,,2013-10,2015-10,verified,verified,24,False,False,3,,3797
c0a2c9e2c03785e7,0,Meridian Capital Partners,Meridian Capital Partners,Multi-Manager Pod Shop,"Investment Professional, Generalist - Soft Catalyst & Fundamental Long/Short",6,"Greenwich, CT",2023-03,present,verified,verified,41,True,False,4,,136
c0a2c9e2c03785e7,1,Global Education Alliance,Global Education Alliance,Unknown,Co-Founder,7,"Mumbai, IN",2017-01,present,verified,verified,115,True,False,2,,3439
c0a2c9e2c03785e7,2,Millennium Management,Millennium Management,Multi-Manager Pod Shop,"Investment Analyst, Consumer & TMT - North53 Capital",4,"New York, NY",2021-09,2022-08,verified,verified,11,False,False,4,,1167
c0a2c9e2c03785e7,3,Apollo Global Management,Apollo Global Management,Hedge Fund / PE,Associate - Private Equity,4,"New York, NY",2019-08,2021-08,verified,verified,24,False,False,4,,2175
c0a2c9e2c03785e7,4,J.P.Mogan,J.P. Morgan,Bulge Bracket,Analyst - Healthcare Investment Banking,3,"New York, NY",2016,2019-07,verified,verified,37,False,False,4,,2791
c0a2c9e2c03785e7,5,"Beta Alpha Psi, Gamma Chapter - Professional Business Fraternity","Beta Alpha Psi, Gamma Chapter - Professional Business Fraternity",Unknown,"President, Alumni Relations Chair, Finance Committee",3,"New York, NY",2014-02,2017-05,verified,verified,39,False,False,2,,3809
8d634b54d8648e8e,0,Cinctive Capital Management,Cinctive Capital,Multi-Manager Pod Shop,Investment Analyst,4,"New York, NY",2021-09,present,verified,verified,59,True,False,5,,71
8d634b54d8648e8e,1,Goldman Sachs,Goldman Sachs,Bulge Bracket,"Equity Research, U.S. Internet & Interactive Entertainment - Associate",4,"New York, NY",2019-02,2021-09,verified,verified,31,False,False,4,,1170
8d634b54d8648e8e,2,J.P. Morgan Asset Management,J.P. Morgan Asset Management,Long-Only / Asset Mgmt,"U.S. Equity, Business Management - Associate",4,"New York, NY",2017-07,2019-02,verified,verified,19,False,False,3,,2089
8d634b54d8648e8e,3,J.P. Morgan Chase & Co.,J.P. Morgan,Bulge Bracket,"Office of the CFO, Strategy and Analytics - Analyst",3,"New York, NY",2016-05,2017-07,verified,verified,14,False,False,1,,2723
8d634b54d8648e8e,4,PwC,PwC,Big 4,Corporate Development & Transaction Services (CDTS) - Analyst,3,"New York, NY",2014-08,2016-05,verified,verified,21,False,False,1,,3053
3fab70b8478323b4,0,Axis Mutual Fund,Axis Mutual Fund,Long-Only / Asset Mgmt,Research Analyst,4,,,,missing,missing,2,False,False,1,,0
3fab70b8478323b4,1,Meridian Capital,Meridian Capital,Multi-Manager Pod Shop,Research analyst,4,,,,missing,missing,10,False,False,3,,400
3fab70b8478323b4,2,ICICI Securities Limited,ICICI Securities,Regional Broker / Other,Research Analyst,3,,,,missing,missing,106,False,False,4,,912
3fab70b8478323b4,3,BioAnalytics Research India Ltd.,Bioanalytics Research India,Unknown,Biomodeller Trainee,1,,,,missing,missing,7,False,True,3,,1458
3fab70b8478323b4,4,Prism Asset Management Pvt Ltd.,Prism Asset Management,Hedge Fund / PE,Summer Internship Project,3,,,,missing,missing,3,False,True,1,,2194
3fab70b8478323b4,5,Reliance Infrastructure Ltd.,Reliance Infrastructure,Unknown,Concurrent Project,3,,,,missing,missing,,False,True,1,,2322
c3b30be3fbf03368,0,Meridian Research Partners,Meridian Research,Unknown,Lead Analyst - Pharmaceuticals and Healthcare,5,,2022-05,present,verified,verified,51,True,False,1,,453
c3b30be3fbf03368,1,Prism Financial Services,Prism Financial Services,Unknown,Lead Analyst - Pharmaceuticals and Healthcare,5,,2020-10,2022-04,verified,verified,18,False,False,2,,713
c3b30be3fbf03368,2,Kotak Securities,Kotak Securities,Regional Broker / Other,Lead Analyst - Pharmaceuticals and Healthcare,4,,2018-04,2020-04,verified,verified,24,False,False,2,,1165
c3b30be3fbf03368,3,"DataFlow Research India Pvt. Limited, Noida",DataFlow Research,Regional Broker / Other,Manager - Equity Research,3,Noida,2015-05,2018-03,verified,verified,34,False,False,2,,1575
c3b30be3fbf03368,4,"J.P. Morgan Securities, London",J.P. Morgan,Bulge Bracket,Equity Research Associate,4,London,2013-09,2014-11,verified,verified,14,False,False,3,,1900
c3b30be3fbf03368,5,"Cipla Pharmaceuticals, Mumbai","Cipla Pharmaceuticals, Mumbai",Unknown,Summer Intern,1,Mumbai,2011-04,2011-05,verified,verified,1,False,True,1,,2295
